domain,dimension,label,code,parent_1,parent_2,definition,definition_suggested,source
Mitigation,Type of measure: instruments,Jet fuel policies,I_Jetfuel,C_Innovation,P_Aviation,"This parameter refers to policies designed to lower the carbon intensity of fuels for aviation or to introduce alternative fuel sources, including biofuel blending mandates.",,
Mitigation,Type of measure: instruments,Support on-shore power and electric charging facilities in ports,I_Onshorepower,C_Innovation,P_Shipping,"While low-carbon fuels for ships are still being explored, there are already several solutions for providing electricity to vessel when docked. This is also commonly known as “cold ironing”.",,
Mitigation,Type of measure: instruments,Port infrastructure improvements,I_PortInfra,C_Innovation,P_Shipping,This parameter refers to improvements to ports and other shore-based facilities.,,
Mitigation,Type of measure: instruments,Ship efficiency improvements,I_Shipefficiency,C_Innovation,P_Shipping,The parameter identifies actions that aim to improve the energy efficiency of ships.,,
Mitigation,Type of measure: instruments,General shipping improvement,I_Shipping,C_Innovation,P_Shipping,"This parameter refers to any general measure that targets shipping, maritime transport or inland navigation.",,
Mitigation,Type of measure: instruments,No concrete instrument,S_Noinstrument,,,NEW! Can apply to all categories & purposes,,
Adaptation,Category,Structural and Technical,A_TECH,,,The category addresses structural solutions (infrastructure development and refurbishment) and technical solutions (risk modelling and other technologies) designed to address climate change risks or impacts.,,
Adaptation,Category,Informational and Educational,A_INFO,,,"Adaptation measures related to monitoring and warning systems, disaster planning, and education and training.",,
Adaptation,Category,Institutional and Regulatory,A_REG,,,"This category covers measures in the fiels of regulations (laws, norms, policies) and institutions (creation of an authority, extension of responsbilities etc.)",,
Adaptation,Category,Other adaptation and resilience measures,A_OTHER,,,This category groups measures that do not fit in the previous categories,,
Adaptation,Measure,Transport Infrastructure Resilience,R_Infrares,A_TECH,,This parameter identifies efforts to adapt transport infrastructure to climate change impacts and to increase its resilience,This parameter identifies efforts to adapt transport infrastructure to climate-change impacts and to increase its resilience.,
Adaptation,Measure,Transport System Adaptation,R_System,A_TECH,,This parameter identifies efforts to adapt to climate change impacts to transport infrastructure and to increase ist resilience,This parameter identifies efforts to adapt the transport system to climate-change impacts and to increase its resilience.,
Adaptation,Measure,Risk assessment,R_Risk,A_TECH,,This parameter identifies efforts to understand risks and impacts to the transport system (e.g. through modelling).,,
